idx,subject,task,repetition,assisted,assistance,time,clutch_time,avg_dist,avg_force
9,A,Thymectomy,0,False,0.0,22.305821,0.0318352059925093,0.0062062064363984,0.2436809267833522
10,A,Thymectomy,1,False,0.0,12.981309999999992,0.0,0.0061486580928377,0.2476761368495286
11,A,Thymectomy,2,False,0.0,14.315699999999993,0.0,0.0065416424880749,0.3260149144726716
69,D,Thymectomy,0,False,0.0,62.3183,0.0895989974937343,0.0124543713394012,0.0013460074991221
70,D,Thymectomy,1,False,0.0,61.01929999999999,0.0747238466536712,0.0108302252802197,0.0009497676264988
71,D,Thymectomy,2,False,0.0,64.90659999999997,0.0809464508094645,0.012497481490889,0.0088640574755751
129,I,Thymectomy,0,False,0.0,48.31020000000001,0.0302521008403361,0.010601989991647,0.1144887322582981
130,I,Thymectomy,1,False,0.0,26.995199999999954,0.0,0.0091855998481447,0.1018847521522945
131,I,Thymectomy,2,False,0.0,23.40980000000002,0.0,0.0081051914010515,7.552761494558487e-05
189,P,Thymectomy,0,False,0.0,57.8229,0.0685425685425685,0.0134390083122688,6.183224376513963e-05
190,P,Thymectomy,1,False,0.0,36.65129999999999,0.0,0.0143489099225301,4.296812536602576e-06
191,P,Thymectomy,2,False,0.0,32.4864,0.0,0.0167946066966239,3.1185403219042165e-06
249,G,Thymectomy,0,False,0.0,57.01539999999999,0.0366642703091301,0.0103978503683534,0.0816216741831402
250,G,Thymectomy,1,False,0.0,35.25920000000002,0.0,0.0083985077870784,0.0329381149683402
251,G,Thymectomy,2,False,0.0,24.993499999999983,0.0,0.0085520767567467,0.0589295078468407
309,V,Thymectomy,0,False,0.0,53.1886,0.0303975058456742,0.0122553439255631,0.0429487568681105
310,V,Thymectomy,1,False,0.0,43.27509999999995,0.0,0.0114539401394196,0.0544009743866311
311,V,Thymectomy,2,False,0.0,26.54099999999994,0.0,0.009323275203824033,0.10622101894177226
